Job:  minatar-freeway-N3 (44484566)
Node: holygpu8a11401.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=3 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 86.9731056690216, 'minatar-freeway/eval_R': 63.21999740600586, 'steps': 210763776}
{'sec': 87.62215971946716, 'minatar-freeway/eval_R': 63.209999084472656, 'steps': 212336640}
{'sec': 88.27099108695984, 'minatar-freeway/eval_R': 63.29999923706055, 'steps': 213909504}
{'sec': 88.92005109786987, 'minatar-freeway/eval_R': 63.029998779296875, 'steps': 215482368}
{'sec': 89.57084059715271, 'minatar-freeway/eval_R': 62.88999938964844, 'steps': 217055232}
{'sec': 90.22069478034973, 'minatar-freeway/eval_R': 63.16999816894531, 'steps': 218628096}
{'sec': 90.87006402015686, 'minatar-freeway/eval_R': 62.77000045776367, 'steps': 220200960}
{'sec': 91.51976609230042, 'minatar-freeway/eval_R': 63.55999755859375, 'steps': 221773824}
{'sec': 92.16883683204651, 'minatar-freeway/eval_R': 63.03999710083008, 'steps': 223346688}
{'sec': 92.8181300163269, 'minatar-freeway/eval_R': 62.77000045776367, 'steps': 224919552}
{'sec': 93.46677803993225, 'minatar-freeway/eval_R': 63.57999801635742, 'steps': 226492416}
{'sec': 94.11601138114929, 'minatar-freeway/eval_R': 63.0, 'steps': 228065280}
{'sec': 94.76475048065186, 'minatar-freeway/eval_R': 63.34000015258789, 'steps': 229638144}
{'sec': 95.4139609336853, 'minatar-freeway/eval_R': 63.6099967956543, 'steps': 231211008}
{'sec': 96.06273317337036, 'minatar-freeway/eval_R': 63.37999725341797, 'steps': 232783872}
{'sec': 96.71206998825073, 'minatar-freeway/eval_R': 63.599998474121094, 'steps': 234356736}
{'sec': 97.36091613769531, 'minatar-freeway/eval_R': 63.19999694824219, 'steps': 235929600}
{'sec': 98.01046252250671, 'minatar-freeway/eval_R': 63.119998931884766, 'steps': 237502464}
{'sec': 98.6592755317688, 'minatar-freeway/eval_R': 63.37999725341797, 'steps': 239075328}
{'sec': 99.30928659439087, 'minatar-freeway/eval_R': 63.959999084472656, 'steps': 240648192}
{'sec': 99.95800828933716, 'minatar-freeway/eval_R': 63.55999755859375, 'steps': 242221056}
{'sec': 100.6069848537445, 'minatar-freeway/eval_R': 63.25, 'steps': 243793920}
{'sec': 101.25579690933228, 'minatar-freeway/eval_R': 63.68000030517578, 'steps': 245366784}
{'sec': 101.90499830245972, 'minatar-freeway/eval_R': 63.459999084472656, 'steps': 246939648}
{'sec': 102.55363130569458, 'minatar-freeway/eval_R': 63.30999755859375, 'steps': 248512512}
{'sec': 103.20259499549866, 'minatar-freeway/eval_R': 63.73999786376953, 'steps': 250085376}
{'sec': 103.85196566581726, 'minatar-freeway/eval_R': 63.52000045776367, 'steps': 251658240}
{'sec': 104.50122141838074, 'minatar-freeway/eval_R': 63.53999710083008, 'steps': 253231104}
{'sec': 105.15039682388306, 'minatar-freeway/eval_R': 63.37999725341797, 'steps': 254803968}
{'sec': 105.7995057106018, 'minatar-freeway/eval_R': 63.80999755859375, 'steps': 256376832}
{'sec': 106.44809174537659, 'minatar-freeway/eval_R': 63.47999954223633, 'steps': 257949696}
{'sec': 107.0971360206604, 'minatar-freeway/eval_R': 63.27000045776367, 'steps': 259522560}
{'sec': 107.74582004547119, 'minatar-freeway/eval_R': 63.73999786376953, 'steps': 261095424}
{'sec': 108.39529228210449, 'minatar-freeway/eval_R': 63.66999816894531, 'steps': 262668288}
{'sec': 109.04511070251465, 'minatar-freeway/eval_R': 63.56999969482422, 'steps': 264241152}
{'sec': 109.69456124305725, 'minatar-freeway/eval_R': 63.5, 'steps': 265814016}
{'sec': 110.3433449268341, 'minatar-freeway/eval_R': 63.7599983215332, 'steps': 267386880}
{'sec': 110.9923906326294, 'minatar-freeway/eval_R': 63.25, 'steps': 268959744}
{'sec': 111.64127016067505, 'minatar-freeway/eval_R': 63.7599983215332, 'steps': 270532608}
{'sec': 112.29094362258911, 'minatar-freeway/eval_R': 63.7599983215332, 'steps': 272105472}
{'sec': 112.93974208831787, 'minatar-freeway/eval_R': 63.97999954223633, 'steps': 273678336}
{'sec': 113.59013056755066, 'minatar-freeway/eval_R': 63.66999816894531, 'steps': 275251200}
{'sec': 114.35553407669067, 'minatar-freeway/eval_R': 63.55999755859375, 'steps': 276824064}
{'sec': 115.00447750091553, 'minatar-freeway/eval_R': 64.04000091552734, 'steps': 278396928}
{'sec': 115.653244972229, 'minatar-freeway/eval_R': 63.57999801635742, 'steps': 279969792}
{'sec': 116.30235290527344, 'minatar-freeway/eval_R': 63.87999725341797, 'steps': 281542656}
{'sec': 116.95139837265015, 'minatar-freeway/eval_R': 63.52000045776367, 'steps': 283115520}
{'sec': 117.60063529014587, 'minatar-freeway/eval_R': 63.52000045776367, 'steps': 284688384}
{'sec': 118.24970769882202, 'minatar-freeway/eval_R': 64.05999755859375, 'steps': 286261248}
{'sec': 118.89858508110046, 'minatar-freeway/eval_R': 63.7599983215332, 'steps': 287834112}
{'sec': 119.54742789268494, 'minatar-freeway/eval_R': 63.619998931884766, 'steps': 289406976}
{'sec': 120.1967704296112, 'minatar-freeway/eval_R': 63.94999694824219, 'steps': 290979840}
{'sec': 120.84528064727783, 'minatar-freeway/eval_R': 64.04000091552734, 'steps': 292552704}
{'sec': 121.4943859577179, 'minatar-freeway/eval_R': 63.84000015258789, 'steps': 294125568}
{'sec': 122.14323616027832, 'minatar-freeway/eval_R': 63.66999816894531, 'steps': 295698432}
{'sec': 122.79246068000793, 'minatar-freeway/eval_R': 64.0, 'steps': 297271296}
{'sec': 123.44217681884766, 'minatar-freeway/eval_R': 63.12999725341797, 'steps': 298844160}
{'sec': 124.09168219566345, 'minatar-freeway/eval_R': 64.06999969482422, 'steps': 300417024}
{'sec': 124.74039053916931, 'minatar-freeway/eval_R': 64.08000183105469, 'steps': 301989888}
{'sec': 125.38964414596558, 'minatar-freeway/eval_R': 64.04999542236328, 'steps': 303562752}
{'sec': 126.03839325904846, 'minatar-freeway/eval_R': 64.04000091552734, 'steps': 305135616}
{'sec': 126.68768978118896, 'minatar-freeway/eval_R': 63.869998931884766, 'steps': 306708480}
{'sec': 127.33657717704773, 'minatar-freeway/eval_R': 63.709999084472656, 'steps': 308281344}
{'sec': 127.98611330986023, 'minatar-freeway/eval_R': 63.81999969482422, 'steps': 309854208}
{'sec': 128.63528084754944, 'minatar-freeway/eval_R': 63.57999801635742, 'steps': 311427072}
{'sec': 129.28448176383972, 'minatar-freeway/eval_R': 63.79999923706055, 'steps': 312999936}
{'sec': 129.9331500530243, 'minatar-freeway/eval_R': 63.66999816894531, 'steps': 314572800}
{'sec': 130.58234691619873, 'minatar-freeway/eval_R': 63.55999755859375, 'steps': 316145664}
{'sec': 131.23118901252747, 'minatar-freeway/eval_R': 63.98999786376953, 'steps': 317718528}
{'sec': 131.88038873672485, 'minatar-freeway/eval_R': 63.369998931884766, 'steps': 319291392}
{'sec': 132.5295445919037, 'minatar-freeway/eval_R': 63.97999954223633, 'steps': 320864256}
{'sec': 133.17925834655762, 'minatar-freeway/eval_R': 64.40999603271484, 'steps': 322437120}
{'sec': 133.82872319221497, 'minatar-freeway/eval_R': 63.87999725341797, 'steps': 324009984}
{'sec': 134.478285074234, 'minatar-freeway/eval_R': 64.0, 'steps': 325582848}
{'sec': 135.1273386478424, 'minatar-freeway/eval_R': 63.90999984741211, 'steps': 327155712}
{'sec': 135.77600693702698, 'minatar-freeway/eval_R': 63.97999954223633, 'steps': 328728576}
{'sec': 136.42468571662903, 'minatar-freeway/eval_R': 64.18000030517578, 'steps': 330301440}
{'sec': 137.07345724105835, 'minatar-freeway/eval_R': 63.87999725341797, 'steps': 331874304}
{'sec': 137.72240591049194, 'minatar-freeway/eval_R': 63.939998626708984, 'steps': 333447168}
{'sec': 138.3728699684143, 'minatar-freeway/eval_R': 64.5, 'steps': 335020032}
{'sec': 139.02200531959534, 'minatar-freeway/eval_R': 64.48999786376953, 'steps': 336592896}
{'sec': 139.67195773124695, 'minatar-freeway/eval_R': 63.90999984741211, 'steps': 338165760}
{'sec': 140.32092332839966, 'minatar-freeway/eval_R': 63.849998474121094, 'steps': 339738624}
{'sec': 140.9698338508606, 'minatar-freeway/eval_R': 63.94999694824219, 'steps': 341311488}
{'sec': 141.61870956420898, 'minatar-freeway/eval_R': 64.27999877929688, 'steps': 342884352}
{'sec': 142.26805520057678, 'minatar-freeway/eval_R': 63.66999816894531, 'steps': 344457216}
{'sec': 142.9167718887329, 'minatar-freeway/eval_R': 63.62999725341797, 'steps': 346030080}
{'sec': 143.56501007080078, 'minatar-freeway/eval_R': 64.18000030517578, 'steps': 347602944}
{'sec': 144.21381068229675, 'minatar-freeway/eval_R': 63.94999694824219, 'steps': 349175808}
{'sec': 144.86226868629456, 'minatar-freeway/eval_R': 64.33999633789062, 'steps': 350748672}
{'sec': 145.5111482143402, 'minatar-freeway/eval_R': 63.81999969482422, 'steps': 352321536}
{'sec': 146.159734249115, 'minatar-freeway/eval_R': 64.54999542236328, 'steps': 353894400}
{'sec': 146.80823874473572, 'minatar-freeway/eval_R': 63.68000030517578, 'steps': 355467264}
{'sec': 147.45667362213135, 'minatar-freeway/eval_R': 64.3699951171875, 'steps': 357040128}
{'sec': 148.10625743865967, 'minatar-freeway/eval_R': 64.20999908447266, 'steps': 358612992}
{'sec': 148.7546021938324, 'minatar-freeway/eval_R': 64.27999877929688, 'steps': 360185856}
{'sec': 149.40331387519836, 'minatar-freeway/eval_R': 64.26000213623047, 'steps': 361758720}
{'sec': 150.0520532131195, 'minatar-freeway/eval_R': 64.23999786376953, 'steps': 363331584}
{'sec': 150.70090627670288, 'minatar-freeway/eval_R': 64.33000183105469, 'steps': 364904448}
{'sec': 151.35033798217773, 'minatar-freeway/eval_R': 64.18999481201172, 'steps': 366477312}
{'sec': 151.99875020980835, 'minatar-freeway/eval_R': 64.65999603271484, 'steps': 368050176}
{'sec': 152.64782118797302, 'minatar-freeway/eval_R': 63.90999984741211, 'steps': 369623040}
{'sec': 153.2967870235443, 'minatar-freeway/eval_R': 64.47000122070312, 'steps': 371195904}
{'sec': 153.9455316066742, 'minatar-freeway/eval_R': 64.37999725341797, 'steps': 372768768}
{'sec': 154.59419465065002, 'minatar-freeway/eval_R': 63.869998931884766, 'steps': 374341632}
{'sec': 155.24239778518677, 'minatar-freeway/eval_R': 64.69999694824219, 'steps': 375914496}
{'sec': 155.890930891037, 'minatar-freeway/eval_R': 64.22999572753906, 'steps': 377487360}
{'sec': 156.53937983512878, 'minatar-freeway/eval_R': 64.18999481201172, 'steps': 379060224}
{'sec': 157.1884446144104, 'minatar-freeway/eval_R': 64.30999755859375, 'steps': 380633088}
{'sec': 157.83818078041077, 'minatar-freeway/eval_R': 64.25, 'steps': 382205952}
{'sec': 158.48733568191528, 'minatar-freeway/eval_R': 64.56999969482422, 'steps': 383778816}
{'sec': 159.13619542121887, 'minatar-freeway/eval_R': 64.5, 'steps': 385351680}
{'sec': 159.78517532348633, 'minatar-freeway/eval_R': 64.55999755859375, 'steps': 386924544}
{'sec': 160.43376541137695, 'minatar-freeway/eval_R': 64.20999908447266, 'steps': 388497408}
{'sec': 161.08326816558838, 'minatar-freeway/eval_R': 64.22999572753906, 'steps': 390070272}
{'sec': 161.73170018196106, 'minatar-freeway/eval_R': 64.97999572753906, 'steps': 391643136}
{'sec': 162.3825500011444, 'minatar-freeway/eval_R': 64.6199951171875, 'steps': 393216000}
{'sec': 163.03284645080566, 'minatar-freeway/eval_R': 64.54999542236328, 'steps': 394788864}
